Gender,Age,Enjoyment_Level,Books_bought,Genre,Theme,Motivation,Choices,Focus,Time,Frequency,Place,Medium,Place_of_Purchase,Recommendation_Source,Favourite_Book
Male,18-21,4,0,"Fiction, Mystery, Adventure, Comics","Vengeance, Other",Enjoyment,"Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,Night,"Weekly, once",At home,"Print book, E-book, Magazines","Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",Kill the messenger
Male,21-24,3,1,"Mystery, Sci-Fi","Rebellion, Survival, Power and corruption",Recommendations from a friend,"Well-written descriptive detail, Complicated or multi-step plot, Exciting action scenes",Plot focused,Afternoon,"Daily, <30 minutes",At home,"Print book, Magazines, Newspaper","Online, places like Amazon","Online/Social Media, Friends",Organize Tomorrow Today
Female,18-21,5,10,"Fiction, Mystery, Adventure, Fantasy, Romance, Sci-Fi","Rebellion, Love (romance), Survival, Coming of age, Moral ambiguity","Recommendations from a friend, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, Exciting action scenes",Character focused,"Afternoon, Evening","Weekly, thrice","In a library, While commuting, At home, In a group","Print book, E-book, Applications, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends, Ads on TV/Computer",Far From the Tree by Robin Benway
Male,18-21,3,5,"Biography, Romance, Self Help","Love (romance), Power and corruption, Moral ambiguity","Personality Development, Enjoyment","Well-written descriptive detail, Witty or believable dialogue",Plot focused,Night,"Daily, 30-60minutes",At home,"Print book, E-book, Magazines, Newspaper, Applications, Websites","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends",Who moved my cheese
Male,18-21,5,5,"Fiction, Mystery, Adventure, Other","Vengeance, Survival, Power and corruption","Recommendations from a friend, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, Exciting action scenes",Plot focused,"Morning, Afternoon, Night","Daily, 30-60minutes",At home,"Print book, Newspaper",Book Stores,"Friends, I like to browse books on my own",The prodigal daughter
Male,18-21,4,20,"Comics, Self Help, Other","Rebellion, Love (romance), Survival, Suffering, Power and corruption","Recommendations from a friend, Personality Development",Well-written descriptive detail,Plot focused,"Morning, Afternoon, Evening, Night","Daily, 30-60minutes",In a library,Print book,"Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",The monk who sold his farari
Female,18-21,5,3,"Fiction, Mystery, Fantasy, Romance, Comics","Rebellion, Vengeance, Moral ambiguity",Enjoyment,"Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Morning, Night","Daily, > 60 minutes","In a library, At home","Print book, E-book, Websites","Online, places like Amazon","Online/Social Media, Ads on TV/Computer",The Murder of Roger Ackroyd
Male,18-21,5,25,"Fiction, Mystery, Adventure",Rebellion,"Personality Development, Enjoyment, Relaxation","Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Plot focused,"Morning, Afternoon, Evening, Night","Weekly, thrice","In a library, At home","Print book, E-book, Websites, Others",Other,"Online/Social Media, Friends, Ads on TV/Computer, I like to browse books on my own, Other",Srimad Bhagavad Gita
Female,18-21,3,0,"Mystery, Romance, Comics, Sci-Fi, Self Help","Love (romance), Coming of age, Power and corruption",Relaxation,Interesting character arcs,Character focused,Morning,"Daily, 30-60minutes",In a group,E-book,Other,Online/Social Media,Looking for alaska
Female,18-21,4,2,"Mystery, Adventure",Survival,"Recommendations from a friend, Enjoyment, Relaxation","Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Evening, Night","Weekly, once","In a library, At home","Print book, Websites","Online, places like Amazon, Book Stores",Friends,The murder on the orient expressway
Male,18-21,5,0,Fantasy,Love (romance),Recommendations from a friend,Well-written descriptive detail,Character focused,Evening,I don't prefer reading,While commuting,Magazines,Book Orders/Book Fairs from school,"Friends, I like to browse books on my own",None
Female,18-21,5,1,"Mystery, Adventure, Comics","Rebellion, Survival, Power and corruption, Moral ambiguity","Enjoyment, Relaxation","Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Weekly, once","In a library, At home","Print book, E-book","Online, places like Amazon","Online/Social Media, I like to browse books on my own",The Alchemist
Female,18-21,5,3,"Fiction, Mystery, Adventure, Fantasy, Comics, Other","Rebellion, Survival, Suffering, Power and corruption, Other","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Weekly, once","In a library, At home",Print book,"Online, places like Amazon",I like to browse books on my own,Murder in Mesopotamia
Female,18-21,5,10,"Fiction, Mystery, Adventure, Biography, Fantasy, Romance, Comics, Sci-Fi, Other","Rebellion, Vengeance, Love (romance), Survival, Coming of age, Suffering, Power and corruption, Moral ambiguity, Other","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Other",Character focused,"Afternoon, Night","Daily, 30-60minutes","In a library, At home","Print book, E-book, Newspaper, Others","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",The House on the Cerulean Sea
Female,18-21,4,5,"Fiction, Mystery, Fantasy, Romance","Rebellion, Love (romance), Survival, Coming of age","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Plot focused,"Morning, Night","Weekly, once","While commuting, At home","Print book, E-book, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends, Ads on TV/Computer",The Lost Symbol by Dan Brown
Female,18-21,4,0,"Fiction, Mystery, Comics",Rebellion,"Recommendations from a friend, Enjoyment","Well-written descriptive detail, Interesting character arcs",Plot focused,Evening,"Daily, 30-60minutes",At home,Applications,Book Stores,"Online/Social Media, Friends",None
Female,18-21,4,3,"Fiction, Mystery, Adventure, Fantasy, Romance, Sci-Fi",Rebellion,"Enjoyment, Relaxation","Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Morning, Evening","Daily, 30-60minutes","In a library, At home","Print book, E-book","Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",Twilight
Female,18-21,3,4,"Fiction, Mystery, Adventure, Romance","Vengeance, Love (romance), Coming of age","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Evening, Night","Daily, 30-60minutes",At home,"Print book, E-book","Book Stores, Book Orders/Book Fairs from school",I like to browse books on my own,We were liars
Female,18-21,4,6,"Fiction, Comics","Love (romance), Survival","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Plot focused,Night,"Daily, 30-60minutes",At home,Print book,"Online, places like Amazon",Friends,Harry Potter
Female,18-21,3,5,"Fiction, Mystery, Adventure, Sci-Fi","Love (romance), Survival","Recommendations from a friend, Relaxation","Witty or believable dialogue, Interesting character arcs, Exciting action scenes",Plot focused,Afternoon,"Weekly, once",At home,"Print book, E-book","Online, places like Amazon, Book Orders/Book Fairs from school",Online/Social Media,Nothing lasts forever
Male,18-21,3,2,"Fiction, Mystery, Fantasy, Sci-Fi","Survival, Power and corruption, Moral ambiguity","Recommendations from a friend, Enjoyment","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Character focused,Night,"Daily, <30 minutes",At home,"Print book, E-book, Websites","Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",The Secret
Male,18-21,3,0,"Fiction, Mystery, Adventure, Fantasy, Comics, Sci-Fi","Vengeance, Survival, Suffering","School/College Assignments, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Exciting action scenes",Plot focused,"Morning, Afternoon, Evening, Night","Weekly, once","In a library, While commuting","Print book, Magazines","Book Stores, Book Orders/Book Fairs from school","Friends, I like to browse books on my own",Goosebumps
Female,18-21,5,2,"Fiction, Mystery, Adventure, Biography, Fantasy, Sci-Fi","Rebellion, Survival, Suffering","Enjoyment, Relaxation","Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,Night,"Weekly, once","While commuting, At home","Print book, E-book",Book Stores,"Friends, I like to browse books on my own",Not without my daughter
Male,18-21,4,10,"Fiction, Romance","Love (romance), Survival","Recommendations from a friend, Enjoyment","Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,Night,"Daily, 30-60minutes",At home,Websites,Other,Online/Social Media,The Beginning after the end
Female,18-21,5,3,"Fiction, Mystery, Adventure, Fantasy, Romance, Sci-Fi","Rebellion, Vengeance, Love (romance), Survival, Coming of age, Other","Recommendations from a friend, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Morning, Afternoon, Night","Daily, 30-60minutes","In a library, At home","Print book, E-book","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends, I like to browse books on my own",Little Women
Female,18-21,3,2,"Mystery, Adventure, Fantasy, Comics",Survival,Relaxation,Interesting character arcs,Character focused,Evening,"Weekly, once",At home,Print book,Book Stores,"Friends, I like to browse books on my own",None
Female,Below 18,2,0,"Fiction, Fantasy, Romance",Love (romance),School/College Assignments,Other,Character focused,"Morning, Afternoon, Evening, Night",I don't prefer reading,Other,Print book,"Book Stores, Book Orders/Book Fairs from school",Friends,none
Male,18-21,3,2,"Fiction, Mystery, Sci-Fi","Vengeance, Survival","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Exciting action scenes",Plot focused,Afternoon,"Daily, 30-60minutes","In a library, At home","Print book, E-book","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",Everything Happens for a Reason
Female,Below 18,4,15,"Fiction, Mystery, Adventure, Fantasy, Romance, Comics, Sci-Fi","Rebellion, Vengeance, Love (romance), Survival, Suffering","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,"Morning, Afternoon, Evening, Night","Daily, > 60 minutes","In a library, While commuting, At home","Print book, E-book","Online, places like Amazon, Book Stores, Other","Online/Social Media, Friends",Percy jackson and the Olympus
Female,18-21,5,4,"Fiction, Romance",Love (romance),Relaxation,"Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Daily, > 60 minutes","While commuting, At home",Print book,Book Stores,"Online/Social Media, Friends, Ads on TV/Computer, I like to browse books on my own, Other",The Firm (John Grisham)
Female,Below 18,5,8,"Fiction, Adventure, Fantasy, Romance, Comics, Sci-Fi","Rebellion, Love (romance), Coming of age, Suffering",Enjoyment,"Well-written descriptive detail, Interesting character arcs",Plot focused,Night,"Daily, 30-60minutes","In a library, At home",Print book,"Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",Looking for Alaska and perks of being a wallflower
Female,Below 18,2,1,"Mystery, Adventure","Rebellion, Survival",School/College Assignments,"Witty or believable dialogue, Interesting character arcs, Exciting action scenes",Plot focused,Night,I don't prefer reading,In a group,E-book,Other,Online/Social Media,None
Female,18-21,3,10,"Fiction, Fantasy, Romance, Comics","Love (romance), Coming of age, Other",Relaxation,"Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,Night,"Weekly, once","In a library, At home","E-book, Applications, Websites","Online, places like Amazon",I like to browse books on my own,N
Female,Below 18,5,20,"Fiction, Mystery, Adventure, Fantasy, Romance",Love (romance),"Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Character focused,"Afternoon, Night","Daily, > 60 minutes","In a library, At home","Print book, E-book, Websites",Book Stores,"Online/Social Media, I like to browse books on my own",The Spanish Love Deception
Male,Below 18,3,10,"Fiction, Mystery, Adventure, Fantasy, Comics","Vengeance, Survival, Suffering","Personality Development, Enjoyment","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Exciting action scenes",Character focused,"Afternoon, Night","Weekly, once","While commuting, At home",E-book,"Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own, Other",To cut a long story short
Male,18-21,4,0,"Fiction, Mystery, Adventure, Fantasy, Sci-Fi","Rebellion, Vengeance, Survival","School/College Assignments, Enjoyment, Relaxation","Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,"Afternoon, Night","Daily, <30 minutes",At home,"Print book, E-book","Book Orders/Book Fairs from school, Other","Online/Social Media, Friends, I like to browse books on my own",Hunger Games
Female,Below 18,3,2,"Adventure, Fantasy, Romance, Sci-Fi","Rebellion, Vengeance, Love (romance), Survival, Coming of age, Suffering, Power and corruption, Moral ambiguity","Recommendations from a friend, Relaxation",Well-written descriptive detail,Plot focused,Night,"Weekly, once",At home,"Print book, E-book, Websites","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school",Friends,revolution 2020
Female,Below 18,5,0,"Fiction, Mystery, Adventure, Biography, Comics, Sci-Fi","Survival, Power and corruption, Moral ambiguity",Enjoyment,"Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot",Plot focused,Afternoon,"Weekly, thrice","In a library, While commuting, At home, In a group","Print book, E-book, Websites","Book Stores, Other",Friends,None
Male,18-21,2,1,"Comics, Self Help",Other,"School/College Assignments, Personality Development","Witty or believable dialogue, Other",Plot focused,Night,I don't prefer reading,At home,Print book,Book Stores,I like to browse books on my own,The Castle of Adventure
Female,18-21,5,5,"Fiction, Mystery, Adventure, Sci-Fi","Rebellion, Survival, Coming of age, Power and corruption, Moral ambiguity",Enjoyment,"Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Daily, 30-60minutes",At home,"Print book, E-book, Websites","Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own",Dark Places
Female,Below 18,5,4,"Mystery, Romance",Love (romance),"Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Daily, > 60 minutes",At home,Print book,"Online, places like Amazon, Book Stores","Online/Social Media, Ads on TV/Computer",One arranged murder by Chetan Bhagat
Male,18-21,4,10,"Fiction, Mystery, Biography","Rebellion, Coming of age, Suffering, Power and corruption","Enjoyment, Relaxation","Interesting character arcs, Complicated or multi-step plot",Plot focused,Night,"Weekly, thrice",At home,"Print book, Magazines, Newspaper, Websites","Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own",The adventures of Sherlock Homes ( Hounds of Baskerville)
Female,Below 18,5,0,"Fiction, Mystery, Adventure, Biography, Comics, Sci-Fi","Survival, Power and corruption, Moral ambiguity",Enjoyment,"Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Plot focused,Afternoon,"Weekly, thrice","In a library, While commuting, At home, In a group","Print book, E-book, Websites",Other,Friends,None
Male,18-21,2,1,"Fiction, Mystery, Biography, Fantasy, Sci-Fi","Rebellion, Vengeance, Survival, Power and corruption, Moral ambiguity","School/College Assignments, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Weekly, thrice",At home,Print book,"Online, places like Amazon",Online/Social Media,The Song of Ice and Fire
Female,18-21,5,15,"Fiction, Mystery, Fantasy, Romance, Self Help, Other","Rebellion, Love (romance), Other",Relaxation,Interesting character arcs,Plot focused,"Morning, Afternoon, Evening, Night","Daily, <30 minutes",In a library,"Print book, E-book","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Friends, I like to browse books on my own",Your name
Female,Below 18,4,22,"Fiction, Mystery, Comics, Self Help, Other","Love (romance), Survival, Coming of age, Suffering","Recommendations from a friend, Personality Development","Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot",Character focused,Afternoon,"Daily, 30-60minutes",At home,"E-book, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",This ends with us
Male,21-24,5,15,"Fiction, Mystery, Biography, Sci-Fi","Rebellion, Vengeance","Recommendations from a friend, Personality Development","Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Plot focused,Night,"Daily, 30-60minutes",At home,"Print book, E-book","Online, places like Amazon","Online/Social Media, Friends",I Robot by Isaac Asimov
Female,18-21,4,4,"Fiction, Mystery, Adventure","Vengeance, Survival, Coming of age, Suffering, Power and corruption, Moral ambiguity","Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Morning, Afternoon, Evening, Night","Weekly, once",At home,"Print book, E-book","Book Stores, Book Orders/Book Fairs from school","Friends, I like to browse books on my own",Thousand Splendid Suns
Female,Below 18,4,3,"Mystery, Adventure, Romance, Self Help","Love (romance), Coming of age, Suffering","Personality Development, Enjoyment",Well-written descriptive detail,Character focused,Night,"Weekly, thrice",At home,Others,"Online, places like Amazon",I like to browse books on my own,Looking for alaska
Male,18-21,2,1,"Mystery, Adventure, Biography","Rebellion, Survival","School/College Assignments, Recommendations from a friend, Personality Development, Relaxation","Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot",Plot focused,"Afternoon, Night","Daily, <30 minutes",At home,"Print book, Applications, Websites","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends, Ads on TV/Computer, I like to browse books on my own",None
Female,18-21,3,4,"Fiction, Mystery, Comics",Other,"Recommendations from a friend, Enjoyment","Well-written descriptive detail, Complicated or multi-step plot",Plot focused,Night,"Weekly, once",At home,"Print book, E-book","Online, places like Amazon, Book Stores","Online/Social Media, Friends",Bloodline
Female,18-21,4,6,"Fiction, Mystery, Fantasy","Rebellion, Vengeance, Love (romance), Moral ambiguity",Enjoyment,"Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Character focused,"Afternoon, Evening, Night","Daily, 30-60minutes","In a library, At home","Print book, E-book","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",The Cresent city
Female,18-21,2,1,Other,Other,Recommendations from a friend,"Witty or believable dialogue, Interesting character arcs",Character focused,Night,I don't prefer reading,At home,Print book,"Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends",None
Female,18-21,5,10,"Fiction, Mystery, Adventure, Fantasy, Sci-Fi, Other","Love (romance), Survival, Suffering, Power and corruption, Moral ambiguity, Other","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Weekly, thrice","In a library, At home, Other","Print book, E-book","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school, Other","Online/Social Media, Friends, I like to browse books on my own",The Shining by Stephen King (recently)
Female,Below 18,4,20,"Mystery, Biography, Romance, Self Help, Other","Rebellion, Love (romance), Survival, Power and corruption, Moral ambiguity","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Plot focused,"Morning, Night","Daily, 30-60minutes","In a library, While commuting","Print book, E-book, Applications, Websites","Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own","Silent patient, Spanish love deception  or Weak hero"
Female,18-21,4,2,"Fiction, Mystery, Fantasy, Romance","Rebellion, Love (romance), Coming of age, Suffering","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Evening, Night","Weekly, once","In a library, At home","Print book, E-book, Magazines, Websites","Online, places like Amazon, Book Stores",Online/Social Media,The Lie
Female,18-21,5,3,"Fiction, Mystery, Adventure, Fantasy, Romance, Comics, Sci-Fi, Self Help, Other","Rebellion, Vengeance, Love (romance), Survival, Coming of age, Suffering, Power and corruption, Moral ambiguity","Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, Other",Plot focused,"Evening, Night","Daily, 30-60minutes","At home, Other","Print book, E-book, Newspaper","Online, places like Amazon, Book Stores",I like to browse books on my own,Recently- Ikigai
Male,18-21,2,0,"Biography, Fantasy, Comics",Other,Personality Development,"Interesting character arcs, Complicated or multi-step plot",Plot focused,"Morning, Afternoon, Evening, Night","Weekly, once",Other,"E-book, Applications",Other,Other,None
Male,18-21,4,2,"Fiction, Adventure","Love (romance), Moral ambiguity","Recommendations from a friend, Personality Development",Witty or believable dialogue,Plot focused,Afternoon,"Daily, 30-60minutes",At home,"Newspaper, Applications",Other,Friends,Angels and Demons
Male,18-21,4,0,Adventure,Survival,Enjoyment,Complicated or multi-step plot,Plot focused,Night,"Daily, <30 minutes",At home,E-book,Other,Ads on TV/Computer,The winning way
Male,18-21,2,0,"Fiction, Mystery",Survival,"School/College Assignments, Recommendations from a friend",Well-written descriptive detail,Plot focused,"Evening, Night","Weekly, once",At home,Print book,"Online, places like Amazon, Book Stores",Friends,The secret
Female,18-21,4,1,"Biography, Self Help","Survival, Moral ambiguity",Personality Development,"Well-written descriptive detail, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Weekly, once",At home,Print book,"Online, places like Amazon","Online/Social Media, Friends",Like this happened yesterday
Male,18-21,3,11,"Fiction, Mystery","Vengeance, Power and corruption",Enjoyment,"Interesting character arcs, Complicated or multi-step plot",Character focused,Night,I don't prefer reading,At home,E-book,Other,Other,Classroom Of the Elite
Male,18-21,3,0,"Fiction, Mystery, Adventure, Biography, Sci-Fi","Survival, Power and corruption, Moral ambiguity","Recommendations from a friend, Relaxation","Well-written descriptive detail, Interesting character arcs",Plot focused,Night,"Weekly, once",At home,"E-book, Applications, Websites","Online, places like Amazon","Online/Social Media, Friends",None
